Title,Year,Keywords,Generated Lay Summary
Genetics and Regulatory Impact of Alternative Polyadenylation in Human B-Lymphoblastoid Cells,2012,"['genetics', 'biology', 'genomics', 'genetics', 'and', 'genomics']","Title: Study Uncovers How Alternative Polyadenylation Affects Gene Expression in Human Cells

Lay Summary:
Gene expression varies among individuals, and understanding how DNA sequence variants impact it is crucial. However, the role of RNA 3′-end processing in this variation was largely unknown. This study aimed to investigate how alternative polyadenylation affects gene expression across different human individuals. The researchers used 3′-end RNA-seq on lymphoblastoid cells from six people. 
They found that transcript end positions are not random and are related to regulatory elements. Genetic differences in polyadenylation signals can drive changes in gene expression, and distinct 3′-end processing signals and sequence elements determine transcript fate. In the case of the immune regulator IRF5, natural variation in RNA 3′-end processing affects its regulatory response to antigen stimulation. These findings could help in understanding gene expression regulation and may aid in predicting regulatory and phenotypic effects from the human genome sequence.
Keywords: Alternative Polyadenylation, Gene Expression, Genetic Variation, Regulatory Elements, IRF5  "
CD8 T Cell Response Maturation Defined by Anentropic Specificity and Repertoire Depth Correlates with SIVΔnef-induced Protection,2015,[],"Title: SIVΔnef Vaccine's Impact on CD8 T Cell Response and Protection

Lay Summary:
The live attenuated SIVΔnef vaccine is highly effective in protecting against wild-type lentiviral challenge, but its protective mechanisms were unclear. This study aimed to understand how SIVΔnef affects the CD8 T cell response. The researchers used deep sequencing and CD8 T cell epitope mapping in vaccinated rhesus macaques. They found that SIVΔnef evolves after vaccination, even in animals with undetectable viremia. This evolution leads to viral epitope escape due to CD8 T cell pressure. As a result, the CD8 T cell response shifts to more conserved epitopes, increasing anentropic specificity. The cumulative breadth and depth of the CD8 T cell repertoire also increase. These findings suggest that a successful vaccine should focus CD8 T cell responses on conserved viral regions and their variants.

Keywords: SIVΔnef vaccine, CD8 T cell response, viral evolution, anentropic specificity "
IL-1 Coordinates the Neutrophil Response to C. albicans in the Oral Mucosa,2016,"['blood', 'cells', 'cell', 'motility', 'medicine', 'and', 'health', 'sciences', 'keratinocytes', 'immune', 'cells', 'enzyme-linked', 'immunoassays', 'pathology', 'and', 'laboratory', 'medicine', 'pathogens', 'endothelial', 'cells', 'immunology', 'microbiology', 'epithelial', 'cells', 'fungi', 'model', 'organisms', 'tongue', 'fungal', 'diseases', 'immunologic', 'techniques', 'fungal', 'pathogens', 'neutrophils', 'digestive', 'system', 'research', 'and', 'analysis', 'methods', 'infectious', 'diseases', 'mycology', 'white', 'blood', 'cells', 'animal', 'cells', 'medical', 'microbiology', 'microbial', 'pathogens', 'immunoassays', 'biological', 'tissue', 'chemotaxis', 'yeast', 'candida', 'mouth', 'cell', 'biology', 'anatomy', 'chemokines', 'epithelium', 'biology', 'and', 'life', 'sciences', 'cellular', 'types', 'yeast', 'and', 'fungal', 'models', 'organisms', 'candida', 'albicans']","Title: IL-1's Role in Coordinating the Neutrophil Response to Oral C. albicans Infections

Lay Summary:
Candida albicans is a common fungal pathogen, especially in immunocompromised people. Understanding how the body fights it is crucial as there are no vaccines and drug resistance is a problem. This study used a mouse model of oral candidiasis to find out how the immune system responds.
- Research Objective: To understand how the IL-1 pathway affects the neutrophil response to C. albicans in the oral mucosa.
- Methodology: Mice were infected with C. albicans, and different cell subsets were analyzed for gene expression, protein production, and neutrophil recruitment. Cell lines were also used to study cell interactions.
- Key Findings: IL-1 receptor signaling is critical. It promotes chemokine production by oral keratinocytes to recruit neutrophils from the blood and induces endothelial cells to secrete G-CSF, which boosts neutrophil production in the bone marrow. Keratinocyte-derived IL-1α is key for this process.
- Implications: These findings could lead to new strategies for treating oral candidiasis and understanding immune responses to other fungal infections.
- Conclusion: The study shows how IL-1 coordinates a cellular response to control C. albicans in the oral mucosa, providing important insights for future research.

Keywords: C. albicans, IL-1, Neutrophils, Oral Mucosa, Immune Response "
The Economic Benefits Resulting from the First 8 Years of the Global Programme to Eliminate Lymphatic Filariasis (2000–2007),2010,"['infectious', 'diseases/neglected', 'tropical', 'diseases', 'infectious', 'diseases/helminth', 'infections', 'public', 'health', 'and', 'epidemiology/global', 'health', 'public', 'health', 'and', 'epidemiology/infectious', 'diseases', 'non-clinical', 'medicine/health', 'economics', 'infectious', 'diseases/epidemiology', 'and', 'control', 'of', 'infectious', 'diseases']","Title: The Economic Benefits of the First 8 Years of the Global Programme to Eliminate Lymphatic Filariasis

Lay Summary:
Lymphatic filariasis is a parasitic infection that burdens many people globally. The Global Programme to Eliminate Lymphatic Filariasis (GPELF) started in 2000. This study aimed to calculate the economic benefits of the first 8 years of GPELF. It reviewed multiple data sources and estimated economic benefits by quantifying averted clinical manifestations and associated savings.
Key findings show that over the lifetimes of 31.4 million treated individuals, about US$21.8 billion in direct economic benefits will be gained. Nearly 3 million newborns and others are protected from infection, and over 28 million infected people benefit from halted disease progression. Additionally, health systems save around US$2.2 billion.
These findings show GPELF has significant economic benefits, indicating it's an excellent investment in global health. Future research could further explore cost - effectiveness and expand the programme to reach more at - risk populations.

Keywords: Lymphatic Filariasis, GPELF, Economic Benefits, Health Systems, Disease Elimination "
Viable Neuronopathic Gaucher Disease Model in Medaka (Oryzias latipes) Displays Axonal Accumulation of Alpha-Synuclein,2015,[],"Title: Medaka Fish Model Sheds Light on Gaucher Disease and Parkinson's Link

Lay Summary:
Gaucher disease, caused by GBA gene mutations, is the most common lysosomal storage disease. GBA mutations also increase the risk of Parkinson's disease. To understand how these mutations lead to Parkinson's, researchers generated GBA nonsense mutant medaka fish. These fish survived for months, unlike humans and mice lacking GCase activity. The mutant medaka showed neuronopathic GD-like symptoms, including brain infiltration of abnormal cells, neuronal loss, and microgliosis. They also had axonal accumulation of alpha-synuclein. Disrupting alpha-syn did not improve the disease phenotypes. The study reveals GBA-/- medaka as a useful model for neuronopathic GD. It also shows that GCase deficiency causes lysosomal dysfunction and alpha-syn accumulation. Axonal transport of alpha-syn may be key in how GBA mutations lead to Parkinson's.
Keywords: Gaucher disease, Parkinson's disease, medaka fish, GBA mutation, alpha-synuclein "
Suppression of Cell-Mediated Immunity following Recognition of Phagosome-Confined Bacteria,2009,"['microbiology/cellular', 'microbiology', 'and', 'pathogenesis', 'microbiology/innate', 'immunity', 'microbiology/immunity', 'to', 'infections']","Title: Phagosome-Confined Bacteria Suppress Immune Response to Intracellular Bacteria

Lay Summary:
Understanding how the immune system responds to bacteria is crucial. This study focused on Listeria monocytogenes, an intracellular bacterium. The aim was to see how the immune response to phagosome-confined bacteria affects the response to cytosolic bacteria.
Mice were infected with two strains of L. monocytogenes: one that escapes into the cytosol and one that stays in the phagosome. Results showed that phagosome-confined bacteria suppressed the adaptive immune response to cytosolic bacteria. They reduced pro-inflammatory cytokines and increased IL-10 production. Blocking the IL-10 receptor or lacking MyD88 restored protective immunity.
These findings are important for understanding how microbes interact with the immune system. They may explain why some vaccines intended to elicit cellular immunity are ineffective and could help design better vaccines.

Keywords: Listeria monocytogenes, Immune Response, Phagosome, Adaptive Immunity, Vaccines "
Discovery and Functional Annotation of SIX6 Variants in Primary Open-Angle Glaucoma,2014,"['genetics', 'biology', 'and', 'life', 'sciences', 'human', 'genetics', 'genetics', 'of', 'disease', 'gene', 'function']","Title: Uncovering the Role of SIX6 Variants in Primary Open-Angle Glaucoma

Lay Summary:
Glaucoma is a leading cause of blindness, with primary open-angle glaucoma (POAG) being the most common type. It's a complex genetic disorder. The study aimed to understand the role of SIX6 in POAG.
Researchers sequenced SIX6 in POAG cases and controls, finding common and rare coding variants and sequence variants in the enhancer. They used zebrafish to test these variants' effects on eye development and luciferase assays to study gene expression.
Key findings include an association between a common SIX6 variant (Asn141His) and POAG. Five variants were hypomorphic or null, and one in the enhancer increased SIX6 expression. POAG patients homozygous for the SIX6 risk allele had a thinner retinal nerve fiber layer.
These findings suggest SIX6 variants increase POAG risk by affecting retinal ganglion cell development. Future research may explore how SIX6 variants impact adult retinal ganglion cell death.

Keywords: Glaucoma, SIX6, Variants, Retinal Ganglion Cells, Eye Development "
A genetic switch controls the production of flagella and toxins in Clostridium difficile,2017,"['cell', 'motility', 'medicine', 'and', 'health', 'sciences', 'gut', 'bacteria', 'toxins', 'pathology', 'and', 'laboratory', 'medicine', 'pathogens', 'operons', 'flagellar', 'motility', 'toxicology', 'toxic', 'agents', 'organisms', 'molecular', 'biology', 'techniques', 'dna', 'cellular', 'structures', 'and', 'organelles', 'bacteria', 'research', 'and', 'analysis', 'methods', 'clostridium', 'difficile', 'artificial', 'gene', 'amplification', 'and', 'extension', 'gene', 'expression', 'molecular', 'biology', 'pathogen', 'motility', 'biochemistry', 'cell', 'biology', 'nucleic', 'acids', 'virulence', 'factors', 'genetics', 'biology', 'and', 'life', 'sciences', 'polymerase', 'chain', 'reaction', 'flagella']","Title: A Genetic Switch Found to Control Flagella and Toxin Production in Clostridium difficile

Lay Summary:
Clostridium difficile is a major cause of hospital-acquired infections. Understanding how it produces flagella and toxins is crucial. This study aimed to identify new regulatory elements for these processes. The researchers used various genetic and molecular biology techniques, like PCR and gene reporter assays. They discovered a ""flagellar switch,"" a 154 bp sequence flanked by repeats. Its orientation controls flagella and toxin production. When in one orientation, bacteria express flagella and toxin genes; in the other, expression is reduced. Regulation occurs after transcription starts and involves a C. difficile - specific factor. The RecV recombinase controls the switch's inversion. These findings provide new insights into how C. difficile regulates its virulence factors, which could lead to new treatments.

Keywords: Clostridium difficile, flagellar switch, toxins, virulence factors, RecV "
The Spore Differentiation Pathway in the Enteric Pathogen Clostridium difficile,2013,[],"Title: Unraveling the Spore Differentiation Pathway in Clostridium difficile

Lay Summary:
Endospores are highly resistant structures formed by some bacteria, like Clostridium difficile, an intestinal pathogen. Understanding spore differentiation in C. difficile is crucial as spores are central to its infectious cycle.
This study combined cytological and genetic methods, along with fluorescent reporters, to study sporulation in C. difficile. 
Key findings showed that while the main periods of activity of the four sigma factors (σF, σE, σG, and σK) are conserved compared to the model organism Bacillus subtilis, their regulation differs. For example, σE's activity is partially independent of σF, σG isn't needed for σK activity, and σK isn't strictly required for heat-resistant spore formation. 
These findings enhance understanding of C. difficile's sporulation process. This knowledge could lead to new strategies to target the pathogen, potentially reducing the incidence and severity of C. difficile infections. Future research may further explore the regulatory network and the role of effector genes.

Keywords: Clostridium difficile, Spore Differentiation, Sigma Factors, Gene Expression, Infectious Cycle "
Compact Modeling of Allosteric Multisite Proteins: Application to a Cell Size Checkpoint,2014,"['nonlinear', 'dynamics', 'systems', 'biology', 'biochemical', 'simulations', 'signal', 'transduction', 'mathematics', 'mechanisms', 'of', 'signal', 'transduction', 'regulatory', 'networks', 'signaling', 'networks', 'biology', 'molecular', 'cell', 'biology', 'computational', 'biology']","Title: Modeling Allosteric Multisite Proteins and a Cell Size Checkpoint

Lay Summary:
Biomedical research often grapples with understanding how proteins with multiple phosphorylation sites work. This study aimed to develop a simple way to model these proteins. The researchers used a method called modified fraction (MF) modeling. They compared simulations of MF models with detailed models and applied MF to analyze a cell size checkpoint in budding yeast. 
Key findings include that MF modeling can closely replicate the behavior of complex systems with few variables. Optimal ultrasensitivity occurs when site activation is concerted and redundant. The yeast cell size checkpoint pathway can form a robust hysteretic switch.
These findings are important as MF modeling simplifies biochemical system analysis. It provides insights into how cells control growth and cell cycle checkpoints. Future research could explore the use of MF in more complex scenarios and further clarify cell size regulation mechanisms.

Keywords: Multisite Proteins, MF Modeling, Cell Size Checkpoint, Yeast, Ultrasensitivity "
LsrR Quorum Sensing “Switch” Is Revealed by a Bottom-Up Approach,2011,"['biotechnology', 'bioengineering', 'systems', 'biology', 'biological', 'systems', 'engineering', 'biology', 'computational', 'biology', 'genetics', 'and', 'genomics', 'engineering']","Title: Unraveling the Quorum Sensing “Switch” in E. coli

Lay Summary:
Bacterial quorum sensing (QS) allows bacteria to communicate and act as a group. Understanding its complex mechanisms has been a challenge. This study aimed to decipher network connectivity and signal transduction in the autoinducer-2 (AI-2) QS system of E. coli.
The researchers used a “bottom-up” approach, combining experiments and mathematical models. They separated the network into sub-systems, constructed mutant strains, and added synthetic AI-2.
Key findings include revealing a new negative feedback interaction and the importance of the LsrR regulator in the E. coli QS “switch”. The study also showed that AI-2 may have other regulatory roles within the cell.
These findings enhance understanding of QS network architectures and could guide the directed coordination of bacterial behaviors in biotechnological applications. 
Keywords: Quorum sensing, E. coli, AI-2, LsrR regulator, network architecture "
Schistosoma haematobium effects on Plasmodium falciparum infection modified by soil-transmitted helminths in school-age children living in rural areas of Gabon,2018,"['schistosoma', 'invertebrates', 'medicine', 'and', 'health', 'sciences', 'parasite', 'groups', 'plasmodium', 'helminths', 'tropical', 'diseases', 'hookworms', 'parasitic', 'diseases', 'animals', 'parasitic', 'protozoans', 'parasitology', 'apicomplexa', 'protozoans', 'neglected', 'tropical', 'diseases', 'malarial', 'parasites', 'schistosoma', 'haematobium', 'helminth', 'infections', 'schistosomiasis', 'eukaryota', 'biology', 'and', 'life', 'sciences', 'malaria', 'organisms']","Title: Schistosoma haematobium and Soil-Transmitted Helminths' Impact on Malaria Infection in School-Age Children

Lay Summary:
Malaria and helminth infections are common in sub-Saharan Africa, but the impact of co-infections is unclear. This study aimed to see how Schistosoma haematobium, along with soil-transmitted helminths (STH), affects Plasmodium falciparum infection in school-age children.
Over two years, researchers in Gabon studied children from two rural villages. They used microscopy and other techniques to detect parasites and followed the children's malaria status.
The study found that schistosomiasis alone didn't increase the risk of P. falciparum infection, but when combined with Trichuris trichiura or hookworm, it did. Also, children with schistosomiasis had a higher risk of developing malaria, especially those aged 6 - 10.
These findings suggest that STH and schistosomiasis co-infections impact malaria outcomes. Thus, controlling these infections could be an extra tool in malaria control programs.

Keywords: Malaria, Schistosoma haematobium, Soil-transmitted helminths, School-age children "
IRF-5-Mediated Inflammation Limits CD8+ T Cell Expansion by Inducing HIF-1α and Impairing Dendritic Cell Functions during Leishmania Infection,2015,[],"Title: How Leishmania Infection Affects CD8+ T Cell Expansion Through Inflammation and HIF-1α

Lay Summary:
Inflammation is important for immune responses, but its role in CD8+ T cell responses during Leishmania infection was unclear. This study aimed to understand how IRF-5-mediated inflammation affects CD8+ T cell expansion. The researchers used different mouse models and monitored CD8+ T cell responses after infecting them with Leishmania.
They found that IRF-5-induced inflammation limits CD8+ T cell expansion by increasing HIF-1α in dendritic cells. HIF-1α reduces IL-12 and increases IL-10 in these cells. Ablating HIF-1α in CD11c+ cells led to more CD8+ T cell expansion, more short-lived effector cells, and lower splenic parasite burden.
These findings suggest that HIF-1α induction in dendritic cells is an immune-evasive strategy for Leishmania. Targeting the HIF-1α pathway could be a way to combat chronic infections.

Keywords: Leishmania, CD8+ T cells, Inflammation, HIF-1α, Immune Evasion "
